Team,Team Score,Opponent,Opponent Score
Renegades,19,NRG,17
NRG,5,Renegades,16
Gambit,10,G2,16
G2,16,Gambit,6
mousesports,16,Natus Vincere,11
fnatic,8,Heroic,16
Virtus.pro,16,G2,10
Natus Vincere,16,mousesports,5
Heroic,5,fnatic,16
G2,16,Virtus.pro,2
HellRaisers,12,FaZe,16
Astralis,16,Space Soldiers,4
Space Soldiers,14,Astralis,16
FaZe,16,HellRaisers,7
Astralis,16,mousesports,7
mousesports,16,Astralis,14
Gambit,9,Virtus.pro,16
Virtus.pro,9,Gambit,16
fnatic,16,Virtus.pro,11
Virtus.pro,4,fnatic,16
fnatic,16,mousesports,13
mousesports,16,fnatic,8
fnatic,9,FaZe,16
FaZe,7,fnatic,16
Renegades,8,Liquid,16
Liquid,19,Renegades,15
Liquid,16,Cloud9,13
Cloud9,16,Liquid,13
FaZe,14,NiP,16
NiP,16,FaZe,8
Space Soldiers,16,North,13
Astralis,16,fnatic,9
Gambit,4,NiP,16
fnatic,9,Astralis,16
North,9,Space Soldiers,16
NiP,16,Gambit,7
Liquid,16,NRG,7
NRG,22,Liquid,20
NRG,8,Cloud9,16
Cloud9,14,NRG,16
Space Soldiers,16,fnatic,14
fnatic,16,Space Soldiers,11
Heroic,14,Natus Vincere,16
FaZe,5,North,16
Natus Vincere,7,Heroic,16
North,8,FaZe,16
NRG,19,SK,16
SK,14,NRG,16
Cloud9,25,SK,22
SK,6,Cloud9,16
North,16,G2,13
G2,12,North,16
NiP,16,Natus Vincere,7
Gambit,16,fnatic,8
Natus Vincere,12,NiP,16
fnatic,16,Gambit,8
HellRaisers,16,mousesports,7
mousesports,16,HellRaisers,4
NiP,11,Astralis,16
Astralis,19,NiP,17
fnatic,16,NiP,13
NiP,7,fnatic,16
HellRaisers,16,FaZe,8
FaZe,16,HellRaisers,10
mousesports,13,Virtus.pro,16
Virtus.pro,1,mousesports,16
North,16,fnatic,11
fnatic,9,North,16
fnatic,7,Astralis,16
Astralis,16,fnatic,1
HellRaisers,16,NiP,9
NiP,16,HellRaisers,2
G2,16,Heroic,14
Heroic,10,G2,16
HellRaisers,6,Astralis,16
Astralis,16,HellRaisers,19
NiP,16,Heroic,19
Heroic,6,NiP,16
Renegades,9,Liquid,16
Liquid,16,Renegades,12
mousesports,14,Heroic,16
FaZe,11,Astralis,16
Heroic,5,mousesports,16
Astralis,19,FaZe,15
NiP,16,G2,12
mousesports,2,FaZe,16
G2,11,NiP,16
FaZe,16,mousesports,10
Astralis,16,North,11
North,4,Astralis,16
NiP,16,mousesports,12
mousesports,16,NiP,8
Heroic,8,FaZe,16
NiP,7,Virtus.pro,16
FaZe,16,Heroic,9
mousesports,4,G2,16
G2,17,mousesports,19
Cloud9,8,fnatic,16
G2,16,Astralis,14
Virtus.pro,22,FaZe,20
Astralis,16,G2,12
FaZe,16,Virtus.pro,8
North,6,Heroic,16
Virtus.pro,12,Astralis,16
Heroic,16,North,11
Astralis,16,Virtus.pro,8
FaZe,12,mousesports,16
mousesports,16,FaZe,10
Liquid,19,Cloud9,16
Cloud9,7,Liquid,16
G2,14,Space Soldiers,16
Space Soldiers,16,G2,5
NiP,16,AGO,10
AGO,12,NiP,16
Heroic,19,HellRaisers,15
HellRaisers,16,Heroic,4
AGO,12,Natus Vincere,16
Natus Vincere,16,AGO,9
Space Soldiers,8,Natus Vincere,16
Natus Vincere,6,Space Soldiers,16
mousesports,13,North,16
North,8,mousesports,16
G2,16,Virtus.pro,12
Heroic,9,fnatic,16
NiP,10,North,16
Liquid,16,Gambit,10
Renegades,13,Astralis,16
Space Soldiers,10,NiP,16
fnatic,16,G2,10
NiP,19,Space Soldiers,15
G2,10,fnatic,16
North,16,Natus Vincere,10
Heroic,16,Astralis,14
Natus Vincere,16,North,8
Astralis,10,Heroic,16
NiP,14,fnatic,16
FaZe,16,AGO,11
fnatic,16,NiP,10
AGO,7,FaZe,16
AGO,8,G2,16
G2,16,AGO,12
Astralis,16,mousesports,14
fnatic,11,HellRaisers,16
HellRaisers,22,fnatic,19
mousesports,16,Astralis,9
FaZe,23,Natus Vincere,25
Heroic,5,Space Soldiers,16
Natus Vincere,16,FaZe,6
Space Soldiers,16,Heroic,1
SK,7,Cloud9,16
Cloud9,13,SK,16
Astralis,22,FaZe,20
FaZe,14,Astralis,16
HellRaisers,16,Natus Vincere,14
mousesports,16,fnatic,11
Natus Vincere,16,HellRaisers,6
fnatic,7,mousesports,16
FaZe,16,G2,13
G2,11,FaZe,16
Cloud9,16,SK,2
mousesports,16,Space Soldiers,13
Vega Squadron,4,Cloud9,16
fnatic,16,Gambit,2
fnatic,7,Natus Vincere,16
Gambit,10,SK,16
Liquid,12,Vega Squadron,16
Astralis,6,Cloud9,16
Space Soldiers,13,Gambit,16
Virtus.pro,7,Cloud9,16
SK,12,FaZe,16
fnatic,16,Astralis,8
Liquid,9,Natus Vincere,16
mousesports,16,Vega Squadron,3
Astralis,16,North,14
Virtus.pro,6,fnatic,16
SK,16,mousesports,12
G2,16,Liquid,8
FaZe,16,Vega Squadron,3
Space Soldiers,16,Cloud9,13
SK,16,Space Soldiers,13
Gambit,16,Natus Vincere,5
Cloud9,8,G2,16
Astralis,2,mousesports,16
fnatic,8,FaZe,16
North,10,Vega Squadron,16
Natus Vincere,16,Liquid,5
mousesports,16,Renegades,4
FaZe,16,Natus Vincere,4
mousesports,5,Cloud9,16
Renegades,14,Liquid,16
Misfits,5,G2,16
EnVyUs,6,Renegades,16
mousesports,16,Natus Vincere,2
Cloud9,16,EnVyUs,11
FaZe,16,Liquid,14
Astralis,16,FaZe,13
FaZe,16,Liquid,12
Cloud9,11,Astralis,16
fnatic,16,OpTic,2
OpTic,16,mousesports,4
North,15,NiP,19
SK,16,NiP,9
North,16,OpTic,11
fnatic,16,Astralis,7
fnatic,22,Liquid,18
FaZe,16,Astralis,5
SK,14,OpTic,16
NiP,16,OpTic,14
North,7,SK,16
FaZe,16,Liquid,14
Astralis,20,Liquid,22
fnatic,19,FaZe,15
mousesports,12,EnVyUs,16
Gambit,31,Natus Vincere,28
Heroic,11,Natus Vincere,16
Astralis,16,FaZe,14
North,12,SK,16
G2,16,NiP,7
SK,8,FaZe,16
Astralis,16,G2,4
NiP,16,North,2
Astralis,15,North,15
G2,8,FaZe,16
NiP,4,SK,16
FaZe,13,North,16
Astralis,16,NiP,5
SK,16,G2,8
North,15,G2,15
FaZe,15,NiP,15
Astralis,16,SK,3
EnVyUs,15,Virtus.pro,15
BIG,12,Space Soldiers,16
EnVyUs,11,mousesports,16
mousesports,16,EnVyUs,1
Heroic,16,EnVyUs,11
Virtus.pro,16,FaZe,7
FaZe,16,Virtus.pro,8
EnVyUs,9,Heroic,16
Liquid,11,Cloud9,16
Cloud9,19,Liquid,15
NiP,16,Astralis,14
Astralis,14,NiP,16
Cloud9,12,Renegades,16
Renegades,12,Cloud9,16
Virtus.pro,14,fnatic,16
fnatic,16,Virtus.pro,4
Virtus.pro,17,NiP,19
NiP,16,Virtus.pro,9
G2,14,OpTic,16
Renegades,9,Gambit,16
Liquid,5,FaZe,16
G2,16,Liquid,9
OpTic,6,Renegades,16
OpTic,16,Liquid,10
FaZe,3,Gambit,16
EnVyUs,11,NiP,16
Cloud9,16,SK,7
EnVyUs,16,Cloud9,8
SK,21,Astralis,25
mousesports,16,Virtus.pro,5
NiP,16,Cloud9,4
Virtus.pro,11,mousesports,16
G2,22,Gambit,19
FaZe,16,Renegades,13
Liquid,19,Gambit,16
G2,9,Renegades,16
Liquid,19,Renegades,17
OpTic,3,FaZe,16
G2,14,FaZe,16
OpTic,16,Gambit,7
EnVyUs,11,Astralis,16
Cloud9,16,Astralis,6
NiP,13,SK,16
EnVyUs,20,SK,22
NiP,16,Astralis,11
Virtus.pro,4,Heroic,16
Heroic,16,Virtus.pro,14
Renegades,16,Cloud9,14
Renegades,12,Liquid,16
Liquid,4,Renegades,16
Natus Vincere,22,FaZe,19
fnatic,16,G2,11
EnVyUs,16,NiP,12
Astralis,12,mousesports,16
BIG,9,North,16
NiP,19,EnVyUs,15
mousesports,5,Astralis,16
FaZe,16,Natus Vincere,6
North,16,BIG,8
G2,9,fnatic,16
G2,12,FaZe,16
FaZe,16,G2,14
Renegades,16,CLG,3
CLG,12,Renegades,16
Heroic,8,mousesports,16
mousesports,16,Heroic,13
Natus Vincere,16,BIG,12
Gambit,12,Virtus.pro,16
BIG,11,Natus Vincere,16
Heroic,11,North,16
EnVyUs,9,Astralis,16
North,12,Heroic,16
Astralis,6,EnVyUs,16
Heroic,9,NiP,16
Gambit,16,Space Soldiers,13
Astralis,13,FaZe,16
NiP,25,Heroic,21
FaZe,10,Astralis,16
fnatic,14,mousesports,16
mousesports,14,fnatic,16
Astralis,19,Natus Vincere,15
fnatic,16,FaZe,12
FaZe,7,fnatic,16
Natus Vincere,4,Astralis,16
G2,16,Astralis,11
Astralis,12,G2,16
Cloud9,13,Liquid,16
Liquid,2,Cloud9,16
Heroic,6,Astralis,16
Astralis,16,Heroic,3
