Team,Team Score,Opponent,Opponent Score,Map,Team Ranking (points),Opponent Ranking (points),Result
NRG,17,Astralis,19,ovp,132,971,loss
Renegades,3,SK,16,cch,228,331,loss
SK,19,Renegades,15,trn,331,228,win
Astralis,11,NiP,16,ovp,971,328,loss
North,11,HellRaisers,16,trn,174,154,loss
EnVyUs,13,mousesports,16,ovp,83,639,loss
G2,16,Natus Vincere,9,cbl,242,620,win
Space Soldiers,8,FaZe,16,trn,150,839,loss
HellRaisers,16,North,19,cbl,154,174,loss
GODSENT,16,Virtus.pro,5,trn,115,160,win
Natus Vincere,16,G2,13,mrg,620,242,win
NiP,16,Astralis,8,mrg,328,971,win
mousesports,16,EnVyUs,11,cbl,639,83,win
FaZe,16,Space Soldiers,5,inf,839,150,win
fnatic,9,G2,16,mrg,604,242,loss
G2,16,fnatic,10,ovp,242,604,win
fnatic,13,Natus Vincere,16,cbl,604,620,loss
NiP,16,mousesports,9,trn,328,639,win
Natus Vincere,25,fnatic,22,trn,620,604,win
mousesports,17,NiP,19,inf,639,328,loss
EnVyUs,16,Astralis,14,trn,83,971,win
Astralis,16,EnVyUs,3,inf,971,83,win
G2,16,FaZe,11,ovp,242,839,win
FaZe,19,G2,16,mrg,839,242,win
G2,20,Astralis,22,mrg,242,971,loss
Space Soldiers,11,mousesports,16,inf,150,639,loss
mousesports,16,Space Soldiers,14,mrg,639,150,win
Astralis,16,G2,10,inf,971,242,win
Heroic,16,EnVyUs,13,cbl,105,83,win
EnVyUs,14,Heroic,16,trn,83,105,loss
Gambit,16,Space Soldiers,7,trn,264,150,win
Astralis,16,Space Soldiers,2,inf,971,150,win
Liquid,16,Gambit,7,cbl,321,264,win
Natus Vincere,16,Renegades,4,inf,620,228,win
Cloud9,22,G2,20,mrg,430,242,win
SK,13,NiP,16,trn,331,328,loss
Cloud9,19,Renegades,17,mrg,430,228,win
Renegades,9,Cloud9,16,inf,228,430,loss
mousesports,16,Virtus.pro,3,inf,639,160,win
Virtus.pro,10,mousesports,16,trn,160,639,loss
NiP,16,North,6,inf,328,174,win
North,19,NiP,15,nuke,174,328,win
Renegades,9,Cloud9,16,inf,228,430,loss
Cloud9,17,Renegades,19,trn,430,228,loss
HellRaisers,8,Space Soldiers,16,inf,154,150,loss
Space Soldiers,16,HellRaisers,6,cbl,150,154,win
Astralis,11,Natus Vincere,16,inf,971,620,loss
Natus Vincere,19,Astralis,16,trn,620,971,win
Gambit,5,FaZe,16,nuke,264,839,loss
FaZe,16,Gambit,2,mrg,839,264,win
G2,10,HellRaisers,16,inf,242,154,loss
FaZe,5,fnatic,16,ovp,839,604,loss
