Team,Team Score,Opponent,Opponent Score,Map,Map WinRate,Team Ranking (points),Opponent Ranking (points),Result
NRG,16,North,13,trn,54.3,367,226,win
Renegades,5,HellRaisers,16,mrg,52.4,105,161,loss
compLexity,10,Heroic,16,nuke,40,128,110,loss
LDLC,6,Heroic,16,trn,52.2,139,110,loss
Liquid,12,North,16,nuke,39.6,510,226,loss
NRG,6,NiP,16,nuke,59.5,367,354,loss
mousesports,7,MIBR,16,mrg,61.8,305,410,loss
MIBR,16,compLexity,12,inf,69.7,410,128,win
compLexity,5,MIBR,16,mrg,55.3,128,410,loss
Natus Vincere,17,BIG,19,inf,53.7,569,262,loss
NiP,16,mousesports,14,mrg,55.7,354,305,win
HellRaisers,16,G2,5,inf,54.8,161,67,win
FaZe,6,Heroic,16,trn,57.5,444,110,loss
G2,18,HellRaisers,22,cch,55.9,67,161,loss
mousesports,16,NiP,14,nuke,57.4,305,354,win
BIG,16,Natus Vincere,5,cch,54,262,569,win
Heroic,16,FaZe,3,mrg,55,110,444,win
LDLC,9,G2,16,nuke,55,139,67,loss
FaZe,12,mousesports,16,d2,54.3,444,305,loss
mousesports,16,FaZe,4,mrg,61.8,305,444,win
G2,10,LDLC,16,mrg,46.8,67,139,loss
NiP,14,fnatic,16,ovp,57,354,197,loss
OpTic,16,LDLC,10,nuke,62.1,151,139,win
fnatic,13,NiP,16,inf,67.2,197,354,loss
LDLC,16,OpTic,10,ovp,63.3,139,151,win
compLexity,10,Liquid,16,mrg,55.3,128,510,loss
Liquid,10,compLexity,16,inf,63.7,510,128,loss
LDLC,7,NiP,16,nuke,55,139,354,loss
NiP,16,LDLC,10,mrg,55.7,354,139,win
Heroic,14,HellRaisers,16,mrg,55,110,161,loss
HellRaisers,14,Heroic,16,inf,54.8,161,110,loss
Renegades,16,compLexity,14,d2,60.4,105,128,win
compLexity,8,Renegades,16,cch,50,128,105,loss
G2,11,NiP,16,cch,55.9,67,354,loss
NiP,13,G2,16,ovp,57,354,67,loss
MIBR,16,compLexity,11,inf,69.7,410,128,win
compLexity,13,MIBR,16,mrg,55.3,128,410,loss
mousesports,16,AVANGAR,5,trn,54.6,305,96,win
MIBR,16,Renegades,12,inf,69.7,410,105,win
